"UTCDateTime","Temperature"
2022-08-31 18:49:59,30.2439
2022-08-31 18:54:59,30.241
2022-08-31 18:59:59,30.2396
2022-08-31 19:04:59,30.2355
2022-08-31 19:09:59,30.2251
2022-08-31 19:14:59,30.2205
2022-08-31 19:19:59,30.2177
2022-08-31 19:24:59,30.214
2022-08-31 19:29:59,30.2102
2022-08-31 19:34:59,30.2075
2022-08-31 19:39:59,30.2029
2022-08-31 19:44:59,30.1973
2022-08-31 19:49:59,30.1964
2022-08-31 19:54:59,30.199
2022-08-31 19:59:59,30.1996
2022-08-31 20:04:59,30.2004
2022-08-31 20:09:59,30.2019
2022-08-31 20:14:59,30.2025
2022-08-31 20:19:59,30.2109
2022-08-31 20:24:59,30.2191
2022-08-31 20:29:59,30.2223
2022-08-31 20:34:59,30.2233
2022-08-31 20:39:59,30.2167
2022-08-31 20:44:59,30.2094
2022-08-31 20:49:59,30.2066
2022-08-31 20:54:59,30.2004
2022-08-31 20:59:59,30.1961
2022-08-31 21:04:59,30.1931
2022-08-31 21:09:59,30.1917
2022-08-31 21:14:59,30.1886
2022-08-31 21:19:59,30.1799
2022-08-31 21:24:59,30.1753
2022-08-31 21:29:59,30.1719
2022-08-31 21:34:59,30.1691
2022-08-31 21:39:59,30.1655
2022-08-31 21:44:59,30.1617
2022-08-31 21:49:59,30.1583
2022-08-31 21:54:59,30.1552
2022-08-31 21:59:59,30.1523
2022-08-31 22:04:59,30.1506
2022-08-31 22:09:59,30.1496
2022-08-31 22:14:59,30.1483
2022-08-31 22:19:59,30.1465
2022-08-31 22:24:59,30.1451
2022-08-31 22:29:59,30.1439
2022-08-31 22:34:59,30.1426
2022-08-31 22:39:59,30.1409
2022-08-31 22:44:59,30.1389
2022-08-31 22:49:59,30.1372
2022-08-31 22:54:59,30.1359
2022-08-31 22:59:59,30.1336
2022-08-31 23:04:59,30.1309
2022-08-31 23:09:59,30.128
2022-08-31 23:14:59,30.1258
2022-08-31 23:19:59,30.1231
2022-08-31 23:24:59,30.1198
2022-08-31 23:29:59,30.1153
2022-08-31 23:34:59,30.1115
2022-08-31 23:39:59,30.1086
2022-08-31 23:44:59,30.1068
2022-08-31 23:49:59,30.1038
2022-08-31 23:54:59,30.1005
2022-08-31 23:59:59,30.0983
2022-09-01 00:04:59,30.095
2022-09-01 00:09:59,30.0898
2022-09-01 00:14:59,30.084
2022-09-01 00:19:59,30.0811
2022-09-01 00:24:59,30.0808
2022-09-01 00:29:59,30.082
2022-09-01 00:34:59,30.0842
2022-09-01 00:39:59,30.0825
2022-09-01 00:44:59,30.0806
2022-09-01 00:49:59,30.0574
2022-09-01 00:54:59,30.001
2022-09-01 00:59:59,29.9635
2022-09-01 01:04:59,29.9435
2022-09-01 01:09:59,29.9325
2022-09-01 01:14:59,29.9356
2022-09-01 01:19:59,29.9468
2022-09-01 01:24:59,29.9586
2022-09-01 01:29:59,29.9602
2022-09-01 01:34:59,29.9526
2022-09-01 01:39:59,29.9333
2022-09-01 01:44:59,29.9012
2022-09-01 01:49:59,29.8834
2022-09-01 01:54:59,29.887
2022-09-01 01:59:59,29.8969
2022-09-01 02:04:59,29.9111
2022-09-01 02:09:59,29.9288
2022-09-01 02:14:59,29.9418
2022-09-01 02:19:59,29.9542
2022-09-01 02:24:59,29.9648
2022-09-01 02:29:59,29.9708
2022-09-01 02:34:59,29.9594
